classroom_id,school_id_spline_linear,school_id_spline_0,school_id_spline_1,school_id_spline_2,lesson_set_id_spline_linear,lesson_set_id_spline_0,lesson_set_id_spline_1,lesson_set_id_spline_2,post_id_x_spline_linear,post_id_x_spline_0,post_id_x_spline_1,post_id_x_spline_2,exists_spline_linear,exists_spline_0,exists_spline_1,exists_spline_2,children_per_post_aka_post_blast_spline_linear,children_per_post_aka_post_blast_spline_0,children_per_post_aka_post_blast_spline_1,children_per_post_aka_post_blast_spline_2,lesson_id_spline_linear,lesson_id_spline_0,lesson_id_spline_1,lesson_id_spline_2,post_per_lesson_aka_popularity_spline_linear,post_per_lesson_aka_popularity_spline_0,post_per_lesson_aka_popularity_spline_1,post_per_lesson_aka_popularity_spline_2
1,-0.5996345950004991,-0.17552284537098717,-0.06902042801004797,-0.038840345593383736,-0.5664206601440163,-0.09238114059056726,-0.045616100823334255,-0.03750215221125597,2.284481559515356,1.3512133608273746,0.2406151178768645,-0.0415859011259792,8.661946308025449,24.116494422132135,26.387943834878588,26.700792459845047,6.819050110373812,19.07275067739693,23.632275165289027,26.266352692852735,-0.44750836641165287,-0.1511387655708941,-0.09846592193930355,-0.07816082612852213,20.724786949302754,26.619848760632575,26.70098425596879,26.702059845637375
3,-0.6994743366488345,-0.1755581910947989,-0.06902042801004797,-0.038840345593383736,-0.6328848804890895,-0.09239308133955698,-0.045616100823334255,-0.03750215221125597,-0.8057316729335681,-0.25698416854179257,-0.10008973166486207,-0.0415859011259792,-0.7273099511823288,-0.1565241272155918,-0.054149188714179064,-0.03786589260465475,-0.7731343188567533,-0.22739685082567157,-0.09863028715429752,-0.049176711290241905,-0.5608695434091324,-0.15118063648184982,-0.09846592193930355,-0.07816082612852213,-0.2542133063055246,-0.0435060254267529,-0.03781256864811707,-0.03745029431365691
15,-0.6457060462172117,-0.17555263952043207,-0.06902042801004797,-0.038840345593383736,-0.6061309971812074,-0.09239102514028026,-0.045616100823334255,-0.03750215221125597,-0.407362641507321,-0.253212321115078,-0.10008973166486207,-0.0415859011259792,0.7072274986371798,-0.06168235208133343,-0.054149188714179064,-0.03786589260465475,1.420614610573722,0.2748557425438231,-0.09457081350002772,-0.049176711290241905,-0.49531811946250875,-0.15117254057018767,-0.09846592193930355,-0.07816082612852213,1.8832469954101592,-0.013425645117936846,-0.03781256864811707,-0.03745029431365691
16,-0.5629412333779746,-0.1754679543741876,-0.06902042801004797,-0.038840345593383736,-0.5319026707697014,-0.09236211406749051,-0.045616100823334255,-0.03750215221125597,0.16768068549501236,-0.20521701914255322,-0.10008973166486207,-0.0415859011259792,2.4701856868739993,0.8756509112437109,6.67974302131268e-05,-0.03786589260465475,3.4980594033704313,3.451167615797636,1.846416591067394,0.02182889257128255,-0.4059500047625827,-0.15107377087524465,-0.09846592193930355,-0.07816082612852213,4.489559918392258,0.28531600655260453,-0.03781256864811707,-0.03745029431365691
18,-0.4456978107022944,-0.17497999999174924,-0.06902042801004797,-0.038840345593383736,-0.46505865487979914,-0.09228363335829681,-0.045616100823334255,-0.03750215221125597,1.9941535329670435,0.9408797384179536,0.05583365200353913,-0.0415859011259792,3.5968964379789328,2.3870141634606994,0.6121897863041823,-0.03786589260465475,3.8186527355921456,4.340642797884416,2.7422825715604824,0.27955293621681576,-0.3254723223487906,-0.15080572964096053,-0.09846592193930355,-0.07816082612852213,6.368328120119667,0.8511646470257439,-0.017614650765833944,-0.03745029431365691
19,-0.6985140341165883,-0.1755581910376809,-0.06902042801004797,-0.038840345593383736,-0.6596753869387946,-0.09239339224831973,-0.045616100823334255,-0.03750215221125597,-0.7872379709652623,-0.2569824601022732,-0.10008973166486207,-0.0415859011259792,-0.7240582607029494,-0.15652404123937086,-0.054149188714179064,-0.03786589260465475,-0.7702846003481159,-0.22739678287841456,-0.09863028715429752,-0.049176711290241905,-0.5597835519561054,-0.15118063644503704,-0.09846592193930355,-0.07816082612852213,-0.2239508259400163,-0.0435059400572579,-0.03781256864811707,-0.03745029431365691
21,-0.5724116042965828,-0.17548543362842212,-0.06902042801004797,-0.038840345593383736,-0.5638434760898196,-0.0923801064069153,-0.045616100823334255,-0.03750215221125597,-0.24662665152640503,-0.24686055441335672,-0.10008973166486207,-0.0415859011259792,1.097430356162698,0.03736252201904239,-0.054149188714179064,-0.03786589260465475,0.06521724490302971,-0.19864604251307236,-0.09863028715429752,-0.049176711290241905,-0.44440553368871855,-0.15113523243269042,-0.09846592193930355,-0.07816082612852213,3.8694285128059285,0.17248313494467185,-0.03781256864811707,-0.03745029431365691
24,-0.6950419492852837,-0.1755581875503393,-0.06902042801004797,-0.038840345593383736,-0.6568011485120351,-0.09239339148708348,-0.045616100823334255,-0.03750215221125597,-0.8181848813637952,-0.25698431847528963,-0.10008973166486207,-0.0415859011259792,-0.6801604392313286,-0.15651670030601128,-0.054149188714179064,-0.03786589260465475,-0.7590638337203558,-0.2273961334661349,-0.09863028715429752,-0.049176711290241905,-0.5563230769351065,-0.15118063378074556,-0.09846592193930355,-0.07816082612852213,-0.11195477163199201,-0.04349715745822374,-0.03781256864811707,-0.03745029431365691
25,-0.5596883166921677,-0.17546136048100974,-0.06902042801004797,-0.038840345593383736,-0.5288426038085079,-0.09235982846751913,-0.045616100823334255,-0.03750215221125597,1.120334293823556,0.13562019658137106,-0.09991352693480586,-0.0415859011259792,2.546600413139413,0.9510688229635617,0.015809857762155686,-0.03786589260465475,1.9674043494185347,0.7487247371870732,-0.009862655975757991,-0.049176711290241905,-0.4022657991715617,-0.15106596387709476,-0.09846592193930355,-0.07816082612852213,4.602373550485763,0.30933788858612615,-0.03781256864811707,-0.03745029431365691
28,-0.6996329451751815,-0.17555819109514914,-0.06902042801004797,-0.038840345593383736,-0.6594434403739168,-0.09239339223834601,-0.045616100823334255,-0.03750215221125597,-0.8198012823521498,-0.25698431870818944,-0.10008973166486207,-0.0415859011259792,-0.7419425583395357,-0.1565242359790788,-0.054149188714179064,-0.03786589260465475,-0.7841769780777235,-0.22739692347761253,-0.09863028715429752,-0.049176711290241905,-0.5595042970110413,-0.15118063640871024,-0.09846592193930355,-0.07816082612852213,-0.2535167515475004,-0.04350602542571189,-0.03781256864811707,-0.03745029431365691
